x,y,MAX_TEMPERATURE,TOTAL_SNOW_FLAG,MAX_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY_FLAG,SNOW_ON_GROUND_FLAG,STATION_NAME,TOTAL_RAIN_FLAG,COOLING_DEGREE_DAYS,MIN_REL_HUMIDITY,LOCAL_DATE,LOCAL_DAY,HEATING_DEGREE_DAYS_FLAG,LOCAL_MONTH,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST_FLAG,SNOW_ON_GROUND,TOTAL_SNOW,ID,MEAN_TEMPERATURE_FLAG,TOTAL_RAIN,CLIMATE_IDENTIFIER,HEATING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,PROVINCE_CODE,SPEED_MAX_GUST,DIRECTION_MAX_GUST,TOTAL_PRECIPITATION,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,LOCAL_YEAR,MEAN_TEMPERATURE
-79.395,43.62861111111111,1.6,M,96,,,,TORONTO CITY CENTRE,M,0,89,2006-01-01 00:00:00,1,,1,,,,,6158667.2006.1.1,,,6158667,19.5,,ON,0,0,0,,,-4.5,,2006,-1.5
-79.395,43.62861111111111,3,M,99,,,,TORONTO CITY CENTRE,M,0,89,2006-01-02 00:00:00,2,,1,,,,,6158667.2006.1.2,,,6158667,16.2,,ON,65,6,3,,,0.6,,2006,1.8
-79.395,43.62861111111111,3.1,M,95,,,,TORONTO CITY CENTRE,M,0,85,2006-01-03 00:00:00,3,,1,,,,,6158667.2006.1.3,,,6158667,15.6,,ON,61,6,0,,,1.6,,2006,2.4
-79.395,43.62861111111111,4.7,M,100,,,,TORONTO CITY CENTRE,M,0,93,2006-01-04 00:00:00,4,,1,,,,,6158667.2006.1.4,,,6158667,14.7,,ON,33,6,2.5,,,1.8,,2006,3.3
-79.395,43.62861111111111,4,M,,,,,TORONTO CITY CENTRE,M,0,,2006-01-05 00:00:00,5,,1,,,,,6158667.2006.1.5,,,6158667,17.2,,ON,54,30,4.5,,,-2.4,,2006,0.8
-79.395,43.62861111111111,-2.4,M,73,,,,TORONTO CITY CENTRE,M,0,54,2006-01-06 00:00:00,6,,1,,,,,6158667.2006.1.6,,,6158667,23.3,,ON,41,32,0,,,-8.1,,2006,-5.3
-79.395,43.62861111111111,1.3,M,93,,,,TORONTO CITY CENTRE,M,0,63,2006-01-07 00:00:00,7,,1,,,,,6158667.2006.1.7,,,6158667,19.4,,ON,46,19,0.5,,,-4.1,,2006,-1.4
-79.395,43.62861111111111,3.4,M,89,,,,TORONTO CITY CENTRE,M,0,69,2006-01-08 00:00:00,8,,1,,,,,6158667.2006.1.8,,,6158667,17.7,,ON,41,9,0.5,,,-2.8,,2006,0.3
-79.395,43.62861111111111,3.7,M,89,,,,TORONTO CITY CENTRE,M,0,70,2006-01-09 00:00:00,9,,1,,,,,6158667.2006.1.9,,,6158667,15.3,,ON,48,29,0,,,1.7,,2006,2.7
-79.395,43.62861111111111,3.9,M,83,,,,TORONTO CITY CENTRE,M,0,52,2006-01-10 00:00:00,10,,1,,,,,6158667.2006.1.10,,,6158667,16.6,,ON,33,25,0,,,-1.2,,2006,1.4
-79.395,43.62861111111111,6.8,M,99,,,,TORONTO CITY CENTRE,M,0,80,2006-01-11 00:00:00,11,,1,,,,,6158667.2006.1.11,,,6158667,13.5,,ON,46,23,0.5,,,2.1,,2006,4.5
-79.395,43.62861111111111,6.8,M,94,,,,TORONTO CITY CENTRE,M,0,75,2006-01-12 00:00:00,12,,1,,,,,6158667.2006.1.12,,,6158667,14.3,,ON,50,25,0.5,,,0.6,,2006,3.7
-79.395,43.62861111111111,7.9,M,97,,,,TORONTO CITY CENTRE,M,0,73,2006-01-13 00:00:00,13,,1,,,,,6158667.2006.1.13,,,6158667,13.4,,ON,0,0,0.5,,,1.3,,2006,4.6
